year_month,instagram,twitter
2009-10,,1.0
2009-11,,3.0
2009-12,,1.0
2010-01,,5.0
2010-02,,1.0
2010-03,,5.0
2010-04,,4.0
2010-05,,6.0
2010-06,,12.0
2010-07,,13.0
2010-08,,14.0
2010-09,,15.0
2010-10,,33.0
2010-11,,30.0
2010-12,,31.0
2011-01,,25.0
2011-02,,33.0
2011-03,,26.0
2011-04,,50.0
2011-05,,55.0
2011-06,,55.0
2011-07,,20.0
2011-08,,32.0
2011-09,,18.0
2011-10,,32.0
2011-11,,60.0
2011-12,,25.0
2012-01,,36.0
2012-02,,25.0
2012-03,,34.0
2012-04,,68.0
2012-05,,78.0
2012-06,,42.0
2012-07,,59.0
2012-08,,85.0
2012-09,,84.0
2012-10,,56.0
2012-11,,69.0
2012-12,,59.0
2013-01,,69.0
2013-02,,68.0
2013-03,,67.0
2013-04,,95.0
2013-05,,61.0
2013-06,,82.0
2013-07,,84.0
2013-08,,75.0
2013-09,,112.0
2013-10,,36.0
2013-11,,44.0
2013-12,,50.0
2014-01,,80.0
2014-02,,51.0
2014-03,,84.0
2014-04,,69.0
2014-05,,98.0
2014-06,,56.0
2014-07,,68.0
2014-08,,51.0
2014-09,,54.0
2014-10,,41.0
2014-11,,62.0
2014-12,,51.0
2015-01,,40.0
2015-02,,50.0
2015-03,,66.0
2015-04,,62.0
2015-05,,101.0
2015-06,,74.0
2015-07,,74.0
2015-08,,67.0
2015-09,,60.0
2015-10,,68.0
2015-11,,98.0
2015-12,,93.0
2016-01,,47.0
2016-02,,108.0
2016-03,,81.0
2016-04,,139.0
2016-05,24.0,198.0
2016-06,71.0,263.0
2016-07,70.0,584.0
2016-08,89.0,64.0
2016-09,54.0,105.0
2016-10,85.0,111.0
2016-11,65.0,99.0
2016-12,47.0,92.0
2017-01,91.0,85.0
2017-02,124.0,142.0
2017-03,86.0,92.0
2017-04,93.0,106.0
2017-05,93.0,98.0
2017-06,92.0,44.0
2017-07,88.0,30.0
2017-08,83.0,55.0
2017-09,85.0,44.0
2017-10,92.0,96.0
2017-11,90.0,212.0
2017-12,93.0,293.0
2018-01,95.0,316.0
2018-02,82.0,221.0
2018-03,92.0,277.0
2018-04,82.0,354.0
2018-05,92.0,211.0
2018-06,71.0,123.0
2018-07,81.0,167.0
2018-08,83.0,200.0
2018-09,77.0,422.0
2018-10,73.0,454.0
2018-11,58.0,159.0
2018-12,75.0,421.0
2019-01,60.0,237.0
2019-02,53.0,201.0
2019-03,78.0,3908.0
2019-04,53.0,134.0
2019-05,67.0,170.0
2019-06,78.0,2588.0
2019-07,31.0,58.0
